Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
215/65R16, 27", 8.7", 6-7.5", 6.5", 10/32", SL, 1654, 51, 20.5, 769
225/55R17, 26.7", 9.1", 6-8", 7", 10/32", SL, 1609, 51, NA, 779
235/65R17, 29", 9.4", 6.5-8.5", 7", 10/32", SL, 1984, 51, 30.4, 716
225/55R18, 28.2", 9.6", 6.5-8.5", 7.5", 9/32", SL, 1653, 51, 26, 737
235/50R18, 27.3", 9.6", 6.5-8.5", 8", 10/32", SL, 1609, 51, 25, 765
235/60R18, 29.1", 9.4", 6.5-8.5", 7", 10/32", XL, 2149, 51, 30, 716
235/60ZR18, 29.1", 9.4", 6.5-8.5", 7", 10/32", XL, 2149, 51, 31, 716
255/55R18, 29", 10.4", 7-9", 8", 12/32", XL, 2271, 51, 33, 715
255/55R18, 29", 10.4", 7-9", 8", 10/32", XL, 2271, 51, 33, 715
255/55ZR18, 29", 10.4", 7-9", 8", 10/32", SL, 2039, 51, 33, 715
235/50R19, 28.3", 9.6", 6.5-8.5", 7.5", 10/32", SL, 1709, 51, 27, 734
235/55R19, 29.2", 9.6", 6.5-8.5", 7.5", 10/32", XL, 2039, 51, 34, 714
235/55R19, 29.2", 9.6", 6.5-8.5", 7.5", 10/32", XL, 2039, 50, 26, 714
255/40R19, 27", 10", 8.5-10", 9", 10/32", SL, 1565, 51, NA, 770
255/45R19, 28", 10", 8-9.5", 8.5", 10/32", SL, 1764, 51, 28, 742
255/50ZR19, 29.1", 10.4", 7-9", 8", 10/32", SL, 1929, 51, 32, 712
255/50ZR19, 29.1", 10.4", 7-9", 8", 10/32", XL, 2149, 51, 32, 712
265/50ZR19, 29.5", 10.9", 7.5-9.5", 8.5", 10/32", XL, 2337, 51, 36, 706
285/45ZR19, 29.1", 11.2", 9-10.5", 9.5", 10/32", SL, 2149, 51, 34, 716
295/45ZR19, 29.5", 11.7", 9.5-11", 10", 10/32", SL, 2271, 51, 39, 705
245/45R20, 28.7", 9.6", 7.5-9", 8", 10/32", XL, 1929, 51, 27, 724
245/45R20, 28.7", 9.6", 7.5-9", 8", 10/32", XL, 1929, 51, 28, 724
255/45R20, 29", 10", 8-9.5", 8.5", 10/32", XL, 2039, 51, 32, 716
255/50ZR20, 30.2", 10.3", 7-9", 8", 10/32", XL, 2271, 51, 37, 689
265/50R20, 30.4", 10.9", 7.5-9.5", 8.5", 10/32", XL, 2403, 51, 36, 683
275/40R20, 28.7", 10.8", 9-11", 9.5", 10/32", XL, 2094, 51, 35, 728
275/45R20, 29.7", 10.7", 8.5-10", 9", 10/32", XL, 2337, 51, 35, 699
275/50ZR20, 30.8", 11.2", 7.5-9.5", 8.5", 10/32", SL, 2271, 51, 36, 677
295/40ZR20, 29.3", 11.9", 10-11.5", 10.5", 10/32", SL, 2094, 51, 38, 709
265/40R21, 29.2", 10.7", 9-10.5", 9.5", 9/32", XL, 2039, 51, 29, 711
295/35ZR21, 29.1", 11.9", 10-11.5", 10.5", 10/32", XL, 2149, 51, 34, 716
295/40ZR21, 30.3", 11.9", 10-11.5", 10.5", 10/32", XL, 2403, 51, 40, 688
305/45R22, 32.8", 12", 9.5-11.5", 10", 10/32", XL, 2910, 51, NA, 634
315/30R22, 29.4", 12.4", 10-11", 10.5", 10/32", XL, 2149, 51, NA, 707
